Name,ECTS,Status,Note,Datum,Bestanden
Artificial Intelligence,5,Offen,,,
Einführung in das wissenschaftliche Arbeiten für IT und Technik,5,Offen,,,
Einführung in die Programmierung mit Python,5,Offen,,,
Mathematik: Analysis,5,Offen,,,
Kollaboratives Arbeiten,5,Offen,,,
Statistik - Wahrscheinlichkeit und deskriptive Statistik,5,Offen,,,
Projekt: Objektorientierte und funktionale Programmierung mit Python,5,Offen,,,
Mathematik: Lineare Algebra,5,Offen,,,
Interkulturelle und ethische Handlungskompetenzen,5,Offen,,,
Statistik - Schließende Statistik,5,Offen,,,
Projekt: Cloud Programming,5,Offen,,,
Cloud Computing,5,Offen,,,
Maschinelles Lernen - Supervised Learning,5,Offen,,,
Maschinelles Lernen - Unsupervised Learning und Feature Engineering,5,Offen,,,
Einführung in Computer Vision,5,Offen,,,
Einführung in das Reinforcement Learning,5,Offen,,,
Projekt: Computer Vision,5,Offen,,,
Neuronale Netze und Deep Learning,5,Offen,,,
Einführung in NLP,5,Offen,,,
Projekt: NLP,5,Offen,,,
Data Science Software Engineering,5,Offen,,,
Projekt: Vom Modell zum Produktvertrieb,5,Offen,,,
Einführung in Datenschutz und IT-Sicherheit,5,Offen,,,
Seminar: Ethische Fragen der Data Science,5,Offen,,,
UX-Projekt,5,Offen,,,
Projekt: Edge AI,5,Offen,,,
Einführung in die Robotik,5,Offen,,,
Projekt: Agiles Projektmanagement,5,Offen,,,
User Experience,5,Offen,,,
Wahlpflichtmodul A,10,Offen,,,
Wahlpflichtmodul B,10,Offen,,,
Wahlpflichtmodul C,10,Offen,,,
Bachelorarbeit,10,Offen,,,
